﻿,食物名,能量/kcal,硫胺素/mg,钙/mg,蛋白质/g,核黄素/mg,镁/mg,脂肪/g,烟酸/mg,铁/mg,碳水化合物/g,维生素C/mg,锰/mg,膳食纤维/g,维生素E/mg,锌/mg,维生素A/微克,胆固醇/mg,铜/mg,胡萝卜素/微克,钾/mg,磷/mg,视黄醇当量/微克,钠/mg,硒/微克,元/斤
1,馒头(均值),221 ,0.04 ,38 ,7 ,0.05 ,30 ,1.1 ,0 ,1.8 ,45.7 ,0 ,0.78 ,1.3 ,0.65 ,0.71 ,0 ,0 ,0.1 ,1 ,138 ,107 ,43.9 ,165.1 ,8.45 
2,油饼,399 ,0.11 ,46 ,7.9 ,0.05 ,13 ,22.9 ,0 ,2.3 ,40.4 ,0 ,0.71 ,2 ,13.72 ,0.97 ,0 ,0 ,0.27 ,2 ,106 ,124 ,24.8 ,572.5 ,10.6 
3,稻米(均值),346 ,0.11 ,13 ,7.4 ,0.05 ,34 ,0.8 ,1.9 ,2.3 ,77.2 ,0 ,1.29 ,0.7 ,0.46 ,1.7 ,0 ,0 ,0.3 ,0.6 ,103 ,110 ,13.3 ,3.8 ,2.23 
4,糯米[江米](均值),348 ,0.11 ,26 ,7.3 ,0.04 ,49 ,1 ,2.3 ,1.4 ,77.5 ,0 ,1.54 ,0.8 ,1.29 ,1.54 ,0 ,0 ,0.25 ,0.8 ,137 ,113 ,12.6 ,1.5 ,2.71 
5,玉米(鲜),106 ,0.16 ,0 ,4 ,0.11 ,32 ,1.2 ,1.8 ,1.1 ,19.9 ,16 ,0.22 ,2.9 ,0.46 ,0.9 ,0 ,0 ,0.09 ,0.7 ,238 ,117 ,71.3 ,1.1 ,1.63 
6,小米,358 ,0.33 ,41 ,9 ,0.1 ,107 ,3.1 ,1.5 ,5.1 ,73.5 ,0 ,0.89 ,1.6 ,3.63 ,1.87 ,17 ,0 ,0.54 ,1.2 ,284 ,229 ,11.6 ,4.3 ,4.74 
7,马铃薯[土豆，洋芋],76 ,0.08 ,8 ,2 ,0.04 ,23 ,0.2 ,1.1 ,0.8 ,16.5 ,27 ,0.14 ,0.7 ,0.34 ,0.37 ,5 ,0 ,0.12 ,0.8 ,342 ,40 ,79.8 ,2.7 ,0.78 
8,甘薯(红心)[山芋，红薯],99 ,0.04 ,23 ,1.1 ,0.04 ,12 ,0.2 ,0.6 ,0.5 ,23.1 ,26 ,0.11 ,1.6 ,0.28 ,0.15 ,125 ,0 ,0.18 ,0.6 ,130 ,39 ,73.4 ,28.5 ,0.48 
9,粉丝,335 ,0.03 ,31 ,0.8 ,0.02 ,11 ,0.2 ,0.4 ,6.4 ,82.6 ,0 ,0.15 ,1.1 ,0 ,0.27 ,0 ,0 ,0.05 ,0.3 ,18 ,16 ,15 ,9.3 ,3.39 
10,黄豆[大豆],359 ,0.41 ,191 ,35 ,0.2 ,199 ,16 ,2.1 ,8.2 ,18.7 ,0 ,2.26 ,15.5 ,18.9 ,3.34 ,37 ,0 ,1.35 ,4.6 ,1503 ,465 ,10.2 ,2.2 ,6.16 
11,豆腐花[豆腐粉],401 ,0.02 ,175 ,10 ,0.03 ,60 ,2.6 ,0.4 ,3.3 ,84.3 ,0 ,0.52 ,0 ,5 ,0.75 ,42 ,0 ,0.28 ,1.5 ,339 ,95 ,1.6 ,0 ,1.7 
12,豆浆粉,422 ,0.07 ,101 ,19.7 ,0.05 ,122 ,9.4 ,0.7 ,3.7 ,64.6 ,0 ,1.24 ,2.2 ,17.99 ,1.77 ,0 ,0 ,0.69 ,2.6 ,771 ,253 ,1.5 ,26.4 ,3.3 
13,腐竹,459 ,0.13 ,77 ,44.6 ,0.07 ,71 ,21.7 ,0.8 ,16.5 ,21.3 ,0 ,2.55 ,1 ,27.84 ,3.69 ,0 ,0 ,1.31 ,3.5 ,553 ,284 ,7.9 ,26.5 ,6.65 
14,豆腐干(均值),140 ,0.03 ,308 ,16.2 ,0.07 ,64 ,3.6 ,0.3 ,4.9 ,10.7 ,0 ,1.31 ,0.8 ,0 ,1.76 ,0 ,0 ,0.77 ,3.5 ,140 ,273 ,65.2 ,76.5 ,0.02 
15,素什锦,173 ,0.07 ,174 ,14 ,0.04 ,45 ,10.2 ,0.5 ,6 ,6.3 ,0 ,1.06 ,2 ,9.51 ,1.25 ,0 ,0 ,0.21 ,2.2 ,143 ,186 ,65.3 ,475.1 ,2.8 
16,豆沙,243 ,0.03 ,42 ,5.5 ,0.05 ,2 ,1.9 ,0.3 ,8 ,51 ,0 ,0.33 ,1.7 ,4.37 ,0.32 ,0 ,0 ,0.13 ,0.7 ,139 ,68 ,39.2 ,23.5 ,0.89 
17,蚕豆淀粉,341 ,0.04 ,36 ,0.5 ,0 ,8 ,0 ,0 ,2.3 ,84.8 ,0 ,0.07 ,0.5 ,0 ,0.05 ,0 ,0 ,0.04 ,0.1 ,10 ,29 ,14.1 ,18.2 ,0.54 
18,核桃(鲜),328 ,0.07 ,0 ,12.8 ,0.14 ,0 ,29.9 ,1.4 ,0 ,1.8 ,10 ,0 ,4.3 ,41.17 ,0 ,0 ,0 ,0 ,1.4 ,0 ,0 ,49.8 ,0 ,0 
19,栗子(鲜)[板栗],185 ,0.14 ,17 ,4.2 ,0.17 ,50 ,0.7 ,0.8 ,1.1 ,40.5 ,24 ,1.53 ,1.7 ,4.56 ,0.57 ,32 ,0 ,0.4 ,0.9 ,442 ,89 ,52 ,13.9 ,1.13 
20,花生(鲜)[落花生，长生果],298 ,0 ,8 ,12 ,0.04 ,110 ,25.4 ,14.1 ,3.4 ,5.3 ,14 ,0.65 ,7.7 ,2.93 ,1.79 ,2 ,0 ,0.68 ,1.3 ,390 ,250 ,48.3 ,3.7 ,4.5 
21,葵花子(生),597 ,0.36 ,72 ,23.9 ,0.2 ,264 ,49.9 ,4.8 ,5.7 ,13 ,0 ,1.95 ,6.1 ,34.53 ,6.03 ,5 ,0 ,2.51 ,4.7 ,562 ,238 ,2.4 ,5.5 ,1.21 
22,西瓜子(炒),573 ,0.04 ,28 ,32.7 ,0.08 ,448 ,44.8 ,3.4 ,8.2 ,9.7 ,0 ,1.82 ,4.5 ,1.23 ,6.76 ,0 ,0 ,1.82 ,4 ,612 ,765 ,4.3 ,187.7 ,23.44 
23,白萝卜[莱菔],21 ,0.02 ,36 ,0.9 ,0.03 ,16 ,0.1 ,0.3 ,0.5 ,4 ,21 ,0.09 ,1 ,0.92 ,0.3 ,3 ,0 ,0.04 ,0.6 ,173 ,26 ,93.4 ,61.8 ,0.61 
24,胡萝卜(红)[金笋，丁香萝卜],37 ,0.04 ,32 ,1 ,0.03 ,14 ,0.2 ,0.6 ,1 ,7.7 ,13 ,0.24 ,1.1 ,0.41 ,0.23 ,688 ,0 ,0.08 ,0.8 ,190 ,27 ,89.2 ,71.4 ,0.63 
25,黄豆芽,44 ,0.04 ,21 ,4.5 ,0.07 ,21 ,1.6 ,0.6 ,0.9 ,3 ,8 ,0.34 ,1.5 ,0.8 ,0.54 ,5 ,0 ,0.14 ,0.6 ,160 ,74 ,88.8 ,7.2 ,0.96 
26,绿豆芽,18 ,0.05 ,9 ,2.1 ,0.06 ,18 ,0.1 ,0.5 ,0.6 ,2.1 ,6 ,0.1 ,0.8 ,0.19 ,0.35 ,3 ,0 ,0.1 ,0.3 ,68 ,37 ,94.6 ,4.4 ,0.5 
27,茄子(均值),21 ,0.02 ,24 ,1.1 ,0.04 ,13 ,0.2 ,0.6 ,0.5 ,3.6 ,5 ,0.13 ,1.3 ,1.13 ,0.23 ,8 ,0 ,0.1 ,0.4 ,142 ,23 ,93.4 ,5.4 ,0.48 
